Date,Hour,MCP (Rs/MWh)
11-09-2023,19,6270.52
11-09-2023,19,6270.78
11-09-2023,20,8500.15
11-09-2023,20,7499.96
11-09-2023,20,7499.03
11-09-2023,20,7240.6
11-09-2023,21,6786.78
11-09-2023,21,6570.03
11-09-2023,21,6533.92
11-09-2023,21,6534.33
11-09-2023,22,6563.34
11-09-2023,22,6828.6
11-09-2023,22,6400.39
11-09-2023,22,6396.46
11-09-2023,23,6786.51
11-09-2023,23,7000.72
11-09-2023,23,7240.44
11-09-2023,23,7499.33
11-09-2023,24,7499.37
11-09-2023,24,7499.07
11-09-2023,24,7499.37
11-09-2023,24,7240.37
12-09-2023,1,6009.24
12-09-2023,1,5919.73
12-09-2023,1,5096.87
12-09-2023,1,4802.19
12-09-2023,2,4248.84
12-09-2023,2,3900.59
12-09-2023,2,3850.35
12-09-2023,2,3649.57
12-09-2023,3,3649.08
12-09-2023,3,3559.66
12-09-2023,3,3650.13
12-09-2023,3,3499.5
12-09-2023,4,3650.94
12-09-2023,4,3499.32
12-09-2023,4,3478.3
12-09-2023,4,3360.89
12-09-2023,5,3360.15
